Ticker	Name	List
ABB.ST	ABB Ltd	OMXS30
ELUX-B.ST	AB Electrolux (publ)	OMXS30
HM-B.ST	H & M Hennes & Mauritz AB (publ)	OMXS30
SCA-B.ST	Svenska Cellulosa Aktiebolaget SCA (publ)	OMXS30
EVO.ST	Evolution AB (publ)	OMXS30
SBB-B.ST	Samhällsbyggnadsbolaget i Norden AB (publ)	OMXS30
SHB-A.ST	Svenska Handelsbanken AB (publ)	OMXS30
INVE-B.ST	Investor AB (publ)	OMXS30
ASSA-B.ST	ASSA ABLOY AB (publ)	OMXS30
TELIA.ST	Telia Company AB (publ)	OMXS30
SWED-A.ST	Swedbank AB (publ)	OMXS30
NDA-SE.ST	Nordea Bank Abp	OMXS30
SEB-A.ST	Skandinaviska Enskilda Banken AB (publ)	OMXS30
ESSITY-B.ST	Essity AB (publ)	OMXS30
TEL2-B.ST	Tele2 AB (publ)	OMXS30
ALIV-SDB.ST	Autoliv, Inc.	OMXS30
BOL.ST	Boliden AB (publ)	OMXS30
HEXA-B.ST	Hexagon AB (publ)	OMXS30
KINV-B.ST	Kinnevik AB	OMXS30
VOLV-B.ST	AB Volvo (publ)	OMXS30
AZN.ST	AstraZeneca PLC	OMXS30
ATCO-A.ST	Atlas Copco AB	OMXS30
GETI-B.ST	Getinge AB (publ)	OMXS30
ATCO-B.ST	Atlas Copco AB	OMXS30
ALFA.ST	Alfa Laval Corporate AB	OMXS30
SKF-B.ST	AB SKF (publ)	OMXS30
NIBE-B.ST	NIBE Industrier AB (publ)	OMXS30
ERIC-B.ST	Telefonaktiebolaget LM Ericsson (publ)	OMXS30
SAND.ST	Sandvik AB (publ)	OMXS30
SINCH.ST	Sinch AB (publ)	OMXS30